Rule	Text
4.4.2.	First, the “beginning of the end phase” event occurs and abilities that trigger at the beginning of the end phase are triggered. Layers on the stack resolve and additional triggered-layers are added as if all players are passing priority in succession.
4.4.3.	Second, when the stack is empty, the end of turn procedure occurs. After each step in the end of turn procedure, if a triggered effect has triggered, the triggered-layers are added to the stack; then layers on the stack resolve, and additional triggered-layers are added as if all players are passing priority in succession. The end of turn procedure happens in the following order:
4.4.3a	All allies’ life totals are reset to their base life, modified by any counters on the object.
4.4.3b	The turn player may put a card from their hand face down into an empty arsenal zone they own.
4.4.3c	Each player puts all cards in their pitch zone (if any) on the bottom of their deck in any order. The order cards are put on the bottom of the deck this way is hidden information.
4.4.3d	All players lose all action points and resources.
4.4.3e	The turn player draws cards until the number of cards in their hand is equal to their hero’s intellect {i}. If it is the first turn of the game, all other players draw cards until the number of cards in their hand is equal to their hero’s intellect {i}. If a player already has at least that many cards in their hand, they do not draw any cards this way. (See Rule 8.5.6)
4.4.4.	Third and finally, the turn ends. Effects that last until the “until end of turn” and “this turn” end. The next player in clockwise order becomes the new turn player (see Rule 1.1.6). The new turn player begins their Start Phase.
4.5.	Ending a Game
4.5.1.	A game ends immediately when a player wins, or the game is a draw.
4.5.2.	A player can win the game in the following ways:
4.5.2a	A player wins the game if all of their opponents have lost the game.
4.5.2b	A player wins the game if an effect states that they win the game.
4.5.3.	A player can lose the game in the following ways:
4.5.3a	A player loses the game if their hero’s life total is reduced to zero.
4.5.3b	A player loses the game if an effect states that they lose the game.
4.5.3c	A player loses the game if they concede.
4.5.4.	The game can be a draw for the remaining players in the following ways:
4.5.4a	The game is a draw for the remaining players if all remaining players’ hero’s life totals are simultaneously reduced to zero. Example: There are 2 remaining players. One player plays and resolves Forked Lightning, targeting both themselves and their opponent. Neither player prevents any arcane damage and both their life totals are simultaneously reduced to zero, resulting in a draw.
4.5.4b	The game is a draw for the remaining players if an effect states that the game is a draw.
4.5.4c	The game is a draw for the remaining players if all remaining players agree to an intentional draw. The remaining players can agree to a draw at any time.
4.5.4d	The game is a draw for the remaining players if a stalemate occurs. A stalemate happens when no remaining player can legally advance the game state toward ending the game. Example: There are 2 remaining players. Both players only have a Cracked Bauble in their hand, no cards in the arena, or cards in their deck, arsenal, or banished zone. Both players control a weapon without an attack ability or an ability that would reduce life totals, so they have no way of advancing the game state to a conclusion. Therefore the game ends in a draw because both players are stalemated.
4.5.4e	The game is a draw for the remaining players if a deadlock occurs. A deadlock happens when all remaining players refuse to legally advance the game state toward ending the game. Example: There are 2 remaining players on 1 life total. Both players only have Invert Existence and a Cracked Bauble in their hand, no equipment, weapon, or cards in their deck, arsenal, or banished zone. The first person to play Invert Existence will lose the game because the opposing player can respond with their Invert Existence which will resolve first and give them the win. Therefore the game ends in a draw because both players are deadlocked.
5.	Layers, Cards, & Abilities
5.0.	General
5.1.	Playing Cards
5.1.1.	To play a card, move it from its current zone to the stack zone to become a card layer on the stack. Playing a card involves the following steps in order: Announce, Declare Costs, Declare Modes and Targets, Check Legal Play, Calculate Asset-Costs, Pay Asset-Costs, Calculate Effect-Costs, Pay Effect-Costs, and Play.
